review_strength,products,average_rating,average_price
High,22,4.023809523809524,345.59272727272725
Low,75,4.144,406.2697333333333
Moderate,55,4.007272727272728,352.0830909090909
No Reviews,44,1.5,485.8275
Very High,2,4.1,532.5
Very Low,64,4.185714285714286,450.30639344262295
