wash_type,products,brands,average_price,average_rating,market_share_pct
Not Specified,97,48,368.6851578947368,4.195833333333334,37.02290076335878
Front Load,69,33,492.62043478260864,3.9633333333333334,26.33587786259542
Top Load,63,21,424.9784126984127,4.151785714285714,24.045801526717558
Front + Top Load,22,15,309.1547619047619,4.066666666666667,8.396946564885496
Hand Wash,7,5,559.8571428571429,4.125,2.6717557251908395
Bucket Wash,4,3,286.7875,3.7,1.5267175572519083
