marketplace,products,brands,average_price,average_rating,market_share_pct
BigBasket,105,24,407.94233009708734,4.004444444444444,40.0763358778626
Flipkart,101,54,413.74257425742576,4.105555555555556,38.54961832061068
Amazon India,56,26,428.0341818181818,4.238181818181818,21.374045801526716
