price_segment,products,brands,average_price,median_price,average_rating,market_share_pct
Budget (<₹150),25,15,105.9964,120.0,3.85,8.865248226950355
High Premium (₹1000+),16,8,1528.4,1193.0,2.5454545454545454,5.673758865248227
Mass Market (₹150–299),93,44,214.64483870967743,216.0,3.356521739130435,32.97872340425532
Mid Premium (₹300–599),109,49,418.83449541284403,399.0,3.700980392156863,38.652482269503544
Premium (₹600–999),39,20,749.1902564102563,738.0,3.6555555555555554,13.829787234042554
