price_segment_analysis,products,brands,average_price,median_price,average_rating,market_share_pct,competition_score,opportunity_signal
Budget (<₹150),22,15,114.31409090909091,122.205,3.988888888888889,8.494208494208493,21.782178217821784,Potential whitespace
Mass Market (₹150–299),89,41,216.1794382022472,217.0,4.11917808219178,34.36293436293436,88.11881188118812,Highly competitive
Mid Premium (₹300–599),101,45,418.48158415841584,399.0,4.105681818181818,38.996138996138995,100.0,Highly competitive
Premium (₹600–999),37,19,751.2275675675676,749.0,3.9612903225806453,14.285714285714285,36.633663366336634,Potential whitespace
High Premium (₹1000+),10,6,1553.1,1334.0,4.7,3.861003861003861,9.900990099009901,Potential whitespace
